customer_name,customer_id,gender,age,zipcode,city,Tenure in months,phone no.,avg monthly usage,plan type,avg monthly download(GB),payment method,total charge,total refunds,customer status,churn category,churn reason
Wendy Johnson,89888920,Male,24,95314,Hardingshire,15,(942)263-5339,966,Premium,70,PayPal,185.29,21.33,Stayed,,
Adam Baker,37595331,Male,69,42695,South Jeffreyborough,21,847.700.3381,940,Basic,91,Credit Card,93.45,44.46,Stayed,,
Joseph Wallace MD,9316141,Female,23,34714,Murphyfort,35,+1-631-862-2566x0731,1321,Basic,83,Bank Transfer,54.43,42.26,Stayed,,
Scott Jones,72138047,Female,70,38516,Turnerview,66,455.704.8787,1863,Premium,27,PayPal,113.08,26.27,Stayed,,
Michael Parrish,29884137,Male,41,74129,Lake Karafort,2,579-929-5092x7089,917,Standard,85,Bank Transfer,183.46,34.58,Stayed,,
Amanda Garcia,24471890,Female,50,01705,New Greg,35,792-301-8436,659,Premium,52,Credit Card,164.79,44.17,Stayed,,
Timothy Price,60204992,Female,66,90111,South Ryanport,20,+1-801-782-9947x97955,463,Basic,128,PayPal,31.85,24.79,Stayed,,
Peter Ramsey,93855791,Female,46,43800,Shawnfurt,10,465-905-8977,74,Premium,134,Bank Transfer,144.66,15.66,Churned,Price,Price too high
Robert Chavez,60569530,Female,60,51884,Stephenfort,25,542-379-6100,333,Basic,88,PayPal,122.94,37.68,Stayed,,
Laura Aguirre,31543354,Male,39,15677,West Patriciachester,66,886.427.5061x06861,1522,Premium,24,Credit Card,183.34,11.0,Stayed,,
Richard Davis,66752906,Female,43,29857,Lake Tracy,25,001-983-260-8189x54928,930,Premium,191,PayPal,42.05,19.43,Stayed,,
Rebecca Williams,63933548,Male,45,39471,Shannonhaven,54,442-652-4414x31887,350,Standard,50,Credit Card,116.13,43.29,Stayed,,
Patricia Stuart,82145056,Female,67,32939,Mcdonaldmouth,33,412.692.3699x1541,1141,Basic,135,Bank Transfer,178.3,36.22,Stayed,,
Daniel Martin,66709769,Female,38,37074,South Katrinachester,36,001-713-463-0473,1080,Standard,187,Credit Card,93.8,20.19,Stayed,,
Melissa Lee,25399994,Female,66,39602,East Shelia,14,297.588.6821,866,Basic,16,Bank Transfer,106.76,10.74,Churned,Competitor,Competitor offered more data
Dawn Cox,62498735,Male,24,81241,North Olivia,65,345.708.4560,1210,Premium,44,Bank Transfer,32.68,17.8,Stayed,,
Allen Ortiz,17874153,Female,34,93327,Nathanhaven,54,965.219.7644x528,1237,Basic,70,Credit Card,70.07,14.21,Stayed,,
Jacob Chambers,33834029,Male,37,86977,Port Mark,52,(213)778-3113x366,132,Standard,104,Bank Transfer,78.41,8.8,Stayed,,
Sean Garcia,35440267,Female,58,54952,West Taylor,3,848.297.6987x84394,1970,Standard,82,PayPal,190.12,37.17,Stayed,,
Robert Dougherty,66542915,Male,66,47201,Taylorfort,41,+1-450-367-4468x22058,1723,Standard,20,Bank Transfer,70.88,12.6,Stayed,,
Michael Dunlap,72045962,Female,37,93500,New Brian,6,286.527.9619,1493,Basic,87,Credit Card,102.96,22.71,Stayed,,
Darius Rivers,58044748,Male,71,55129,South Nicoleton,25,(444)607-8823,1146,Standard,166,PayPal,140.83,19.29,Stayed,,
Holly Camacho,82172723,Male,39,94452,Port Anthonyside,13,(302)889-6282x0618,1310,Standard,48,PayPal,49.19,49.1,Stayed,,
Alejandro Wiggins,97889776,Female,45,82273,South Sandramouth,8,850.497.9169x3023,95,Standard,138,Bank Transfer,107.56,19.55,Stayed,,
Todd Anderson,74490703,Male,78,48988,West Robert,21,(942)208-6941x594,667,Premium,196,Bank Transfer,152.94,4.0,Churned,Other,Moved
Anthony Adams,64692277,Female,57,08367,Ericmouth,68,001-216-453-7532,977,Premium,104,Credit Card,176.03,4.49,Stayed,,
Shirley Bernard,83958506,Female,66,31395,Michelleshire,25,284.801.8468x85909,1873,Basic,26,PayPal,132.73,29.54,Stayed,,
Andre Smith,31662986,Female,24,24127,Andreaview,68,+1-719-374-6885x5783,311,Basic,22,Credit Card,140.43,29.97,Stayed,,
Julie Gutierrez,68697812,Female,18,95989,Carrollberg,45,001-780-554-7305x6118,225,Standard,16,Bank Transfer,42.73,20.94,Stayed,,
Brian Saunders,13660569,Female,49,06719,Campbellfort,60,715-440-3075x77970,1239,Premium,184,PayPal,190.24,21.59,Churned,Attitude,Attitude of service provider
Amy Nguyen,34169674,Female,30,45772,Dixonmouth,12,758-749-5242x02464,706,Standard,127,Credit Card,43.86,2.7,Stayed,,
Robin Harris MD,1985196,Female,47,39148,Tinamouth,32,892.783.1193,891,Standard,121,Credit Card,159.44,25.83,Stayed,,
Erica Thompson,56225329,Female,40,04266,Quinnport,13,806.899.2140,419,Premium,55,Credit Card,67.67,25.24,Churned,Other,Unknown
Curtis Cruz,58347188,Female,68,76992,Danielton,31,001-431-661-7230x1053,1868,Premium,75,Credit Card,188.05,7.48,Stayed,,
Aaron Knight,35955876,Female,76,39102,Heidichester,20,8553773145,103,Premium,52,Credit Card,149.59,5.19,Stayed,,
Derrick Stone,93199956,Female,73,58016,West Ashley,18,001-582-349-9195x102,739,Basic,23,PayPal,155.69,6.18,Stayed,,
Jessica Ibarra,97400843,Male,36,22700,Greggfurt,60,8617587872,1492,Basic,10,Credit Card,59.43,5.05,Stayed,,
Robert Martinez,95800239,Male,79,79992,South Mary,63,(695)442-8709x6577,1829,Standard,88,PayPal,99.75,30.49,Stayed,,
Hannah Herrera,41077201,Female,49,16585,Lake Thomas,6,359-469-8904,1580,Basic,159,Credit Card,131.21,9.82,Churned,Dissatisfaction,Network reliability
Holly King,9864967,Female,47,17090,Barbaraburgh,32,320-598-2134,1414,Premium,57,Bank Transfer,158.6,12.57,Stayed,,
Christopher Hamilton,1478841,Female,46,46007,Jordantown,43,555-854-3558,1200,Premium,111,Bank Transfer,38.71,8.68,Stayed,,
Christopher Torres,87246838,Female,66,73740,South Heidi,2,707.261.2231,1482,Basic,105,Credit Card,193.23,47.89,Stayed,,
Katie Smith,64850584,Female,62,68419,Gregorytown,60,001-566-855-1882,1997,Standard,52,Bank Transfer,180.24,42.73,Stayed,,
Wyatt Stafford,65595786,Female,46,11035,Jameshaven,23,7364655386,416,Standard,139,PayPal,68.66,11.52,Stayed,,
Luis Fuller,52083891,Female,47,62723,Larryshire,31,771.590.6573x6556,1344,Basic,191,Credit Card,168.1,16.38,Stayed,,
Brad Smith,35646440,Female,33,06593,Lake Alexandrashire,5,(500)477-7806,693,Standard,73,PayPal,113.3,10.49,Churned,Attitude,Attitude of service provider
Jessica Harris,85504739,Male,57,86128,Darrenmouth,34,908.869.5184x269,1678,Standard,15,Credit Card,103.13,24.59,Churned,Attitude,Attitude of service provider
Felicia Collins,34792178,Female,36,25438,East Michael,10,(266)225-5180,428,Standard,147,Bank Transfer,76.6,0.98,Churned,Attitude,Attitude of service provider
Anthony Carter,63866868,Male,35,11950,East Williamside,2,836.985.7873,122,Premium,196,PayPal,124.57,33.57,Churned,Competitor,Competitor offered more data
Kirsten Norton,89413572,Female,18,65148,New Jessetown,11,614-531-9562x0429,1996,Premium,135,Bank Transfer,151.38,26.16,Stayed,,
Russell Ellison,13066012,Female,31,36475,Medinatown,50,300-732-9403x12675,1995,Basic,126,Bank Transfer,93.97,44.93,Stayed,,
Blake Luna,64727584,Male,68,88679,South Ana,31,001-871-648-7038x268,964,Premium,73,Credit Card,133.26,8.22,Churned,Attitude,Attitude of service provider
Sherry Meadows,19188290,Female,64,52979,South Christopherfurt,56,001-426-746-5427x62151,1321,Standard,27,PayPal,145.88,40.21,Stayed,,
Lisa Wolfe,16874720,Male,67,84905,North Jared,9,001-944-926-6207x960,909,Premium,185,Bank Transfer,148.0,39.6,Stayed,,
Daniel Grant,18346903,Female,19,86101,East Mallory,21,857.783.6073x597,1858,Basic,41,Credit Card,29.35,6.36,Stayed,,
Tammy Jenkins,14821737,Female,71,85026,Goodwinland,28,(393)673-7070x57459,92,Premium,13,Credit Card,174.75,19.93,Stayed,,
Jennifer Hernandez,66973029,Male,45,46560,Kathleentown,62,585.928.4637x95776,426,Standard,19,Credit Card,102.49,8.51,Churned,Other,Moved
Kristine Williams,59469806,Female,66,34122,Josephmouth,7,2777465560,1114,Standard,135,Bank Transfer,67.23,12.74,Stayed,,
Carrie Smith,41756162,Male,67,79503,Alexisborough,16,001-742-342-4806x881,219,Basic,97,Credit Card,63.52,13.16,Stayed,,
Sara Johnston,84714154,Female,47,77179,Fletchermouth,4,+1-589-645-1461x118,261,Premium,21,PayPal,106.94,27.81,Churned,Competitor,Competitor offered more data
Diana Lopez,98324420,Male,55,69489,Parksview,4,+1-353-469-2264x082,1566,Premium,158,PayPal,179.63,20.57,Stayed,,
Veronica Adams,74404002,Male,68,78463,Lake Teresa,40,+1-631-255-4424,1753,Premium,153,Bank Transfer,88.1,47.39,Stayed,,
Jessica Hughes,24097204,Female,21,30134,South Rebecca,17,9578770811,88,Standard,76,PayPal,154.95,6.32,Stayed,,
Cheryl Garcia,4187300,Female,18,49970,Lake Alex,52,(353)461-5917x25371,418,Basic,153,Credit Card,37.43,48.68,Churned,Attitude,Attitude of service provider
Lauren Gibson,67591870,Male,25,05600,Baxterfurt,52,(574)289-8786,806,Premium,125,Bank Transfer,105.69,11.53,Stayed,,
Emily Taylor,22130262,Female,46,86978,New Wendyport,36,+1-480-283-5313x443,200,Standard,15,Credit Card,198.5,38.64,Stayed,,
John Mccoy,99028081,Female,72,52026,New Marc,38,729-722-0262x143,1184,Standard,170,Bank Transfer,158.68,16.95,Stayed,,
Anthony Brown,80885287,Female,56,83899,North John,50,(907)339-1691x3011,1553,Standard,76,Bank Transfer,57.9,7.15,Stayed,,
Stephanie Murphy,16553020,Male,20,56346,Ortizhaven,63,466.654.0957x923,1509,Premium,110,Credit Card,110.26,42.89,Churned,Other,Moved
Lynn Jenkins,36717224,Male,49,71903,Gregorymouth,63,493-908-7131x05036,1120,Premium,129,PayPal,62.05,15.44,Churned,Other,Deceased
Carolyn Sherman,16665643,Male,27,40131,Sotobury,62,5973946824,1073,Premium,39,PayPal,93.72,32.94,Stayed,,
Tina Alexander,81480471,Male,27,42095,Port Danielleberg,7,236.844.9507,1648,Premium,123,Bank Transfer,160.42,28.32,Stayed,,
William Smith,3190634,Male,36,82818,East Richard,27,+1-719-343-1680x91651,786,Premium,18,Credit Card,158.82,23.59,Churned,Price,Long distance charges
Mark Pitts,56213856,Male,63,77755,Cynthiafort,14,848-462-4902x02652,1439,Premium,18,Credit Card,61.06,24.79,Churned,Other,Moved
Andrea Figueroa,87743178,Male,51,91948,Kellyshire,71,700-319-5963x7164,118,Premium,14,Bank Transfer,186.0,36.61,Churned,Dissatisfaction,Network reliability
Destiny Richards,94918478,Male,77,18679,North Amybury,5,8865297258,348,Premium,144,PayPal,126.66,4.39,Churned,Attitude,Attitude of support person
Nicholas Carter,47432461,Male,50,23230,East Shane,55,342.901.2429x819,993,Premium,42,Credit Card,88.39,33.41,Stayed,,
Sarah Harris,62607336,Female,40,95397,Longfurt,2,9133672439,851,Standard,112,PayPal,110.35,44.79,Stayed,,
Sheila Hall,73381834,Male,72,47413,Colleenshire,62,+1-448-471-8828x465,345,Premium,123,PayPal,128.91,2.89,Stayed,,
Sarah Glenn,26345025,Female,45,01393,Bergburgh,21,863.906.9941x3128,252,Basic,38,Bank Transfer,120.78,7.03,Stayed,,
Donald Wilson,19588765,Female,49,71085,Rodriguezstad,21,+1-901-282-1810,110,Standard,173,Bank Transfer,107.55,35.83,Stayed,,
Susan Little,61539450,Female,67,59166,Cherylstad,10,795.981.7656x08538,995,Premium,14,PayPal,110.89,21.86,Stayed,,
Lindsey Jones,14913320,Male,24,60203,New David,58,553-920-4780x06677,1012,Basic,126,Credit Card,51.75,20.18,Stayed,,
Kristin Smith,25077397,Male,46,22164,North Sarah,39,318-569-0641x280,1903,Premium,149,Credit Card,166.29,6.85,Stayed,,
Matthew Brennan,77261135,Male,25,81352,Allenmouth,5,001-857-887-9803x92429,1387,Basic,149,Bank Transfer,117.52,25.34,Stayed,,
Stephen Jacobs,6191556,Male,18,71305,Laraview,65,(980)462-7340x33670,1234,Basic,199,PayPal,43.59,6.33,Stayed,,
Frank Schneider,35412716,Female,74,49954,Amyville,13,464.944.4423,380,Basic,194,Credit Card,157.91,23.83,Stayed,,
Sonia Baker,97872450,Male,72,59603,Woodsside,53,827.794.6628,1601,Basic,119,Credit Card,187.84,38.18,Stayed,,
Carrie Holmes,59331517,Male,20,19780,Lake Jamesshire,45,(922)640-1508,387,Standard,5,Bank Transfer,190.52,12.91,Stayed,,
Cindy Hill,34520990,Male,41,83841,Richardsonstad,32,001-486-950-3366,1679,Standard,16,PayPal,86.42,24.04,Churned,Attitude,Attitude of service provider
Brian Miller,76431527,Male,40,54787,Brandyfurt,36,+1-808-545-9912x8606,1377,Basic,107,Credit Card,44.39,49.6,Stayed,,
Debbie Vasquez,15689252,Male,76,13398,West Stephanie,60,001-228-638-3121x32225,1576,Premium,8,Bank Transfer,113.31,34.33,Stayed,,
Michael Mccarthy,54360604,Female,78,54388,Juliamouth,11,745-719-2918x7959,1723,Basic,174,Credit Card,40.27,42.07,Stayed,,
Hayden Pierce,97934108,Male,25,05800,Hallville,63,+1-942-649-5482,1411,Standard,145,Credit Card,188.12,20.74,Stayed,,
Ashley Bolton,72378499,Female,71,37883,West Monicamouth,21,545.670.8116,1623,Premium,102,Credit Card,53.04,38.39,Stayed,,
Joshua Ramos Jr.,63668793,Male,74,88452,New Cynthia,52,622-410-5981x157,688,Standard,110,Bank Transfer,65.5,2.03,Stayed,,
Todd Macdonald,50189476,Female,64,68656,Chadhaven,55,(586)385-4684x81896,324,Standard,89,PayPal,93.19,6.15,Stayed,,
Miguel Elliott,36912105,Male,54,87796,Lake Amyport,26,891.739.2079x147,1237,Premium,125,Bank Transfer,88.97,10.15,Stayed,,
Jonathan Parsons,41271947,Male,20,89340,South Kristy,68,(956)216-9673,1516,Basic,136,PayPal,163.04,20.1,Stayed,,
Allison Gonzalez,81622718,Female,68,52724,Sierrashire,34,+1-731-586-9538x1417,368,Basic,86,Credit Card,102.14,42.29,Churned,Attitude,Attitude of service provider
Jamie Smith,41742076,Female,50,26528,Scottberg,52,279-497-3363x8266,638,Basic,23,PayPal,50.74,17.31,Churned,Other,Deceased
James Moore,57537708,Female,45,78443,Amberberg,52,889.389.7037,553,Basic,134,Credit Card,68.1,32.73,Stayed,,
Stephanie Gonzales,81780231,Male,64,00598,West Erinburgh,29,(590)354-4593x2451,1759,Premium,16,Credit Card,111.64,35.47,Stayed,,
Miss Kelly Reed,43522695,Female,25,64315,Ryanberg,38,(990)493-8616x622,436,Premium,85,Bank Transfer,46.54,29.31,Stayed,,
Kevin Phillips,29138758,Male,51,68934,North Johnchester,42,001-613-320-3145x541,919,Premium,78,Credit Card,130.1,17.86,Stayed,,
Kathy Allen,21056537,Male,52,47727,Smithview,21,(887)905-6625x40297,882,Standard,102,Bank Transfer,121.83,28.85,Stayed,,
Theresa Singh,15728021,Female,49,89925,Lake Joseph,42,603.610.6471x651,1064,Premium,10,PayPal,148.65,17.11,Stayed,,
Scott Shelton,55123959,Female,41,43973,Port Allisonberg,13,209.259.1669x32371,1961,Basic,140,PayPal,188.79,4.19,Stayed,,
Jason Caldwell,91943580,Male,31,95564,East Tyler,64,342.871.9248,652,Standard,129,Credit Card,184.21,49.64,Stayed,,
Sierra Thompson,89740791,Male,49,17299,Williamsshire,17,(356)424-7273x51804,1823,Basic,55,Bank Transfer,190.29,6.36,Stayed,,
Caitlin Thompson,85427308,Female,73,63975,New Todd,9,+1-759-968-5581x437,1849,Basic,15,Credit Card,64.05,3.62,Churned,Other,Deceased
Dr. Donald Giles MD,76277984,Female,63,28701,South Daniel,41,707-271-3619x35736,740,Premium,195,Bank Transfer,43.68,43.93,Stayed,,
Cynthia Thomas,64117715,Female,60,84463,Diazfort,1,6924346898,543,Premium,189,Bank Transfer,74.41,15.09,Churned,Attitude,Attitude of service provider
Nathan Barber,17569971,Male,33,25848,North Kellyton,2,268-947-8773x616,539,Basic,131,Bank Transfer,181.12,32.51,Stayed,,
Cindy Davidson,79007921,Male,21,25232,Lake Elizabethland,60,001-244-462-7839x6752,770,Basic,144,PayPal,194.97,16.45,Churned,Competitor,Competitor offered more data
Caitlin Clark,52508095,Male,69,29182,New Alexander,48,834-264-0694x6858,1146,Standard,77,Bank Transfer,174.68,19.57,Stayed,,
Jennifer Alexander,89782876,Male,54,81489,North Christinaburgh,29,(850)832-3442,558,Premium,6,PayPal,39.8,13.11,Stayed,,
Tina Benton,47127198,Male,71,74533,Lake Deannaburgh,10,691-437-1561x9168,439,Standard,12,Bank Transfer,190.54,17.15,Stayed,,
Bryan Lee,64060797,Male,38,96469,Lake Steven,58,477-935-4278x67145,1692,Standard,143,PayPal,96.2,20.54,Stayed,,
Stephanie Michael,2058208,Female,31,27354,East Amandabury,60,559-516-8667x1072,1930,Standard,128,PayPal,21.68,36.02,Churned,Competitor,Competitor offered better device
Bryan White,97557340,Male,48,70780,Williamston,21,001-697-715-4404x909,344,Basic,57,PayPal,99.63,25.58,Stayed,,
Robert Roberts,91241284,Male,72,13947,East Nathanielton,28,473-727-6265,1442,Standard,14,Credit Card,28.29,47.18,Stayed,,
Richard Davis,57783536,Male,65,05755,East Jillside,34,456-704-0368x6130,845,Standard,116,Bank Transfer,117.9,2.09,Stayed,,
Martin Soto,30057122,Female,35,15667,West Robert,8,702-640-7896,914,Basic,12,Credit Card,80.94,25.15,Stayed,,
Jeanette Ferguson,82843877,Male,24,97843,Port Thomasview,59,001-702-324-6251x968,1767,Premium,40,Bank Transfer,105.22,29.21,Stayed,,
Laura Rice,97830375,Male,27,80757,New Ericachester,49,4935976300,598,Premium,110,Bank Transfer,130.37,46.01,Stayed,,
Amanda Matthews,20510254,Female,24,39378,North Lisaborough,17,001-912-200-4731x421,698,Standard,18,Credit Card,176.38,2.46,Stayed,,
Tammy Perry,50828372,Male,50,37256,Port Jasmineside,60,+1-227-461-8519x166,1923,Basic,186,PayPal,139.14,28.67,Churned,Dissatisfaction,Product dissatisfaction
Stephen Jackson,57952656,Male,40,33805,Lake Victoria,45,869-810-3495,617,Premium,90,Bank Transfer,98.13,42.68,Churned,Price,Price too high
Anna Patrick,47131374,Male,38,98488,New Claudia,69,663-412-9311x311,1260,Standard,153,PayPal,167.5,12.1,Stayed,,
Hunter Le,21346775,Male,36,26095,Christopherland,32,8617506189,902,Standard,54,Credit Card,183.0,43.81,Stayed,,
Donald Murphy,63912009,Male,65,78269,North Derektown,44,+1-501-602-6097,819,Basic,171,PayPal,41.56,0.95,Stayed,,
Paul Soto,41274716,Female,78,49078,New Angela,65,001-214-442-6936x2784,494,Standard,24,Bank Transfer,115.75,36.62,Stayed,,
